"Site.Name","Date","PM2.5","Ozone"
"Bryson City",2018-02-22,35,NA
"Castle Hayne",2018-02-22,6,NA
"Clemmons Middle",2018-02-22,42,NA
"Durham Armory",2018-02-22,30,NA
"Frying Pan Mountain",2018-02-22,20,NA
"Garinger High School",2018-02-22,31,24
"Hattie Avenue",2018-02-22,36,NA
"Leggett",2018-02-22,23,NA
"Linville Falls",2018-02-22,33,NA
"Mendenhall School",2018-02-22,34,NA
"Millbrook School",2018-02-22,34.5,20
"Pitt Agri. Center",2018-02-22,28.5,NA
"West Johnston Co.",2018-02-22,29,NA
"Bryson City",2018-02-23,48,NA
"Castle Hayne",2018-02-23,2,NA
"Clemmons Middle",2018-02-23,58,NA
"Durham Armory",2018-02-23,45,NA
"Garinger High School",2018-02-23,41,35
"Hattie Avenue",2018-02-23,53,NA
"Leggett",2018-02-23,28,NA
"Mendenhall School",2018-02-23,56,NA
"Millbrook School",2018-02-23,48,19
"Pitt Agri. Center",2018-02-23,32,NA
"West Johnston Co.",2018-02-23,54,NA
"Bryson City",2018-02-24,45,NA
"Castle Hayne",2018-02-24,1,NA
"Clemmons Middle",2018-02-24,52,NA
"Durham Armory",2018-02-24,38,NA
"Garinger High School",2018-02-24,48,32
"Hattie Avenue",2018-02-24,52,NA
"Leggett",2018-02-24,28,NA
"Mendenhall School",2018-02-24,49,NA
"Millbrook School",2018-02-24,38,29
"Pitt Agri. Center",2018-02-24,23,NA
"West Johnston Co.",2018-02-24,38,NA
"Bryson City",2018-02-25,21,NA
"Castle Hayne",2018-02-25,0,NA
"Clemmons Middle",2018-02-25,38,NA
"Durham Armory",2018-02-25,27,NA
"Frying Pan Mountain",2018-02-25,10,NA
"Garinger High School",2018-02-25,27.5,26
"Hattie Avenue",2018-02-25,30.6666666666667,NA
"Leggett",2018-02-25,18,NA
"Linville Falls",2018-02-25,17,NA
"Mendenhall School",2018-02-25,29,NA
"Millbrook School",2018-02-25,30.5,31
"Pitt Agri. Center",2018-02-25,15,NA
"West Johnston Co.",2018-02-25,32,NA
"Bryson City",2018-02-26,13,NA
"Castle Hayne",2018-02-26,6,NA
"Clemmons Middle",2018-02-26,19,NA
"Durham Armory",2018-02-26,19,NA
"Garinger High School",2018-02-26,16,NA
"Hattie Avenue",2018-02-26,18,NA
"Leggett",2018-02-26,17,NA
"Mendenhall School",2018-02-26,19,NA
"Millbrook School",2018-02-26,22,30
"Pitt Agri. Center",2018-02-26,15,NA
"West Johnston Co.",2018-02-26,18,NA
"Bryson City",2018-02-27,23,NA
"Castle Hayne",2018-02-27,3,NA
"Clemmons Middle",2018-02-27,32,NA
"Durham Armory",2018-02-27,25,NA
"Garinger High School",2018-02-27,22,42
"Hattie Avenue",2018-02-27,28,NA
"Leggett",2018-02-27,15,NA
"Mendenhall School",2018-02-27,21,NA
"Millbrook School",2018-02-27,29,43
"Pitt Agri. Center",2018-02-27,18,NA
"West Johnston Co.",2018-02-27,25,NA
